match_id,player_id,minutes,shots,xg,goals,np_goals,npxg,touches_in_box,key_passes,assists,pressures,player,team,primary_position,np_goals_assists
3895052,5536,34,2,0.314083646,0,0,0.314083646,6,0,0,5,Yussuf Yurary Poulsen,RB Leipzig,Center Forward,0
3895052,16275,74,4,1.0845185860000002,1,1,1.0845185860000002,9,0,0,19,Ikoma Loïs Openda,RB Leipzig,Left Center Forward,1
3895052,32289,88,3,0.213703868,0,0,0.213703868,18,0,1,5,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,1
3895060,11399,27,0,0.0,0,0,0.0,3,0,0,12,Robin Hack,Borussia Mönchengladbach,Left Center Forward,0
3895060,25039,66,0,0.0,0,0,0.0,6,2,0,24,Nathan Ngoumou Minpole,Borussia Mönchengladbach,Left Wing,0
3895060,32289,88,11,1.403437664,2,2,1.403437664,36,0,0,3,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,2
3895060,45567,78,3,0.3719524,0,0,0.3719524,15,1,0,18,Tomáš Čvančara,Borussia Mönchengladbach,Center Forward,0
3895060,135777,15,0,0.0,0,0,0.0,0,0,0,3,Yvandro Borges Sanches,Borussia Mönchengladbach,Left Wing,0
3895067,32289,94,7,1.090115837,2,2,1.090115837,39,1,1,7,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,3
3895067,34612,36,0,0.0,0,0,0.0,3,0,0,3,Filip Stojilković,Darmstadt 98,Right Center Forward,0
3895067,42543,58,3,0.5429408849999999,1,1,0.5429408849999999,6,0,0,13,Oscar Vilhelmsson,Darmstadt 98,Left Center Forward,1
3895067,48655,94,0,0.0,0,0,0.0,4,0,0,18,Luca Pfeiffer,Darmstadt 98,Right Center Forward,0
3895074,3053,98,2,0.11870924599999999,0,0,0.11870924599999999,17,2,0,12,Leroy Sané,Bayern Munich,Right Wing,0
3895074,3499,14,0,0.0,0,0,0.0,2,0,0,4,Jean-Eric Maxim Choupo-Moting,Bayern Munich,Center Forward,0
3895074,8400,69,4,0.496187265,0,0,0.496187265,22,0,0,24,Serge Gnabry,Bayern Munich,Left Wing,0
3895074,10955,84,2,0.85733924,1,1,0.85733924,11,1,0,13,Harry Kane,Bayern Munich,Center Forward,1
3895074,32289,98,8,0.969415028,0,0,0.969415028,42,1,0,11,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,0
3895074,44737,29,0,0.0,0,0,0.0,11,0,1,6,Mathys Tel,Bayern Munich,Left Wing,1
3895086,11382,80,1,0.24645855,0,0,0.24645855,8,0,0,21,Tim Kleindienst,FC Heidenheim,Center Forward,0
3895086,15693,15,0,0.0,0,0,0.0,0,0,0,2,Denis Thomalla,FC Heidenheim,Left Wing,0
3895086,31310,81,0,0.0,0,0,0.0,4,0,1,28,Jan-Niklas Beste,FC Heidenheim,Left Wing,1
3895086,32289,84,9,2.4532735850000003,2,1,1.669773585,35,0,0,3,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,1
3895086,74089,16,0,0.0,0,0,0.0,4,0,0,6,Marvin Pieringer,FC Heidenheim,Center Forward,0
3895095,7208,20,0,0.0,0,0,0.0,16,1,0,2,Ludovic Ajorque,FSV Mainz 05,Right Center Forward,0
3895095,11278,83,3,0.16382985500000002,0,0,0.16382985500000002,22,0,0,19,Karim Onisiwo,FSV Mainz 05,Center Forward,0
3895095,32289,78,1,0.48862752,0,0,0.48862752,12,0,0,13,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,0
3895095,363583,74,1,0.02572198,0,0,0.02572198,1,1,0,18,Brajan Gruda,FSV Mainz 05,Right Wing,0
3895107,11279,90,1,0.09981244,0,0,0.09981244,9,0,0,22,Davie Selke,FC Köln,Right Center Forward,0
3895107,32289,79,6,1.352037038,1,1,1.352037038,44,2,0,8,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,1
3895107,72768,19,0,0.0,0,0,0.0,1,0,0,3,Steffen Tigges,FC Köln,Center Forward,0
3895107,134880,61,0,0.0,0,0,0.0,1,0,0,33,Faride Alidou,FC Köln,Left Center Forward,0
3895113,21261,94,5,0.399083601,0,0,0.399083601,21,4,0,20,Jonas Older Wind,Wolfsburg,Right Center Forward,0
3895113,28914,24,1,0.028854862,0,0,0.028854862,0,1,0,12,Lovro Majer,Wolfsburg,Right Wing,0
3895113,31955,17,0,0.0,0,0,0.0,1,0,0,3,Jakub Kamiński,Wolfsburg,Right Wing,0
3895113,32289,94,4,0.69930936,0,0,0.69930936,22,0,1,4,Victor Okoh Boniface,Bayer Leverkusen,Center Forward,1
