player,team,position,minutes,score,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Karim Benzema,Real Madrid,Center Forward,2008.0,0.7786,0.9792,recommend,1.2998,4.3924,0.7805,23.3068,1.4343,10.1295
Luis Alberto Suárez Díaz,Barcelona,Center Forward,3233.0,0.7714,0.9624,recommend,1.4476,3.8695,0.6606,32.5982,1.2527,9.3257
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,Left Wing,3274.0,0.7643,0.9112,recommend,1.0721,6.2676,0.6849,23.9157,0.9346,4.7007
Neymar da Silva Santos Junior,Barcelona,Left Wing,3129.0,0.7571,0.8628,recommend,0.8917,3.5379,0.4311,25.8293,2.3586,11.2752
Nicolás Ladislao Fedor Flores,Rayo Vallecano,Center Forward,1590.0,0.75,0.831,recommend,0.6792,2.3774,0.569,18.6226,1.2453,19.9245
Lionel Andrés Messi Cuccittini,Barcelona,Right Wing,2801.0,0.7429,0.828,recommend,1.221,5.0768,0.507,18.8933,1.8958,6.1371
Imanol Agirretxe Arruti,Real Sociedad,Center Forward,1197.0,0.7357,0.8101,recommend,0.9774,3.3835,0.644,19.4737,0.2256,11.8045
Kevin Gameiro,Sevilla,Center Forward,2152.0,0.7286,0.7674,recommend,0.6273,3.053,0.5177,24.6747,0.8783,13.7175
Gareth Frank Bale,Real Madrid,Right Wing,1771.0,0.7214,0.763,recommend,1.4737,4.1163,0.4568,17.0751,1.9819,10.0621
Aritz Aduriz Zubeldia,Athletic Club,Center Forward,2866.0,0.7143,0.643,recommend,0.7223,3.0147,0.4647,20.3175,0.8165,9.829
Javier Guerra Rodríguez,Rayo Vallecano,Center Forward,2150.0,0.7071,0.6278,recommend,0.5023,2.9721,0.456,21.4326,1.0047,15.6558
Iago Aspas Juncal,Celta Vigo,Center Forward,2717.0,0.7,0.6209,recommend,0.5962,2.7162,0.4093,20.7361,1.3581,14.6411
Lucas Pérez Martínez,RC Deportivo La Coruña,Center Forward,3233.0,0.6929,0.6191,recommend,0.6403,2.7281,0.4121,15.1438,1.6703,15.3109
Jesé Rodríguez Ruiz,Real Madrid,Left Wing,893.0,0.6857,0.6029,recommend,1.1086,2.1165,0.3208,18.3427,2.0157,12.1948
Álvaro Negredo Sánchez,Valencia,Center Forward,1215.0,0.6786,0.5839,review,0.5185,2.8889,0.438,18.2963,0.8889,9.7778
Fernando Llorente Torres,Sevilla,Center Forward,1187.0,0.6714,0.5473,review,0.5307,2.3505,0.3676,26.3858,1.0615,15.4676
Antoine Griezmann,Atlético Madrid,Right Center Forward,3112.0,0.6643,0.5336,review,0.7519,2.6607,0.4165,13.8817,1.4171,17.9017
Borja González Tomás,Eibar,Center Forward,2642.0,0.6571,0.5297,review,0.6132,3.2021,0.4947,18.6677,0.545,18.7699
Munir El Haddadi Mohamed,Barcelona,Right Wing,850.0,0.65,0.4856,review,0.4235,1.8,0.4385,13.2353,0.6353,13.5529
Jackson Arley Martínez Valencia,Atlético Madrid,Left Center Forward,683.0,0.6429,0.4733,review,0.5271,3.4261,0.3566,27.0132,1.0542,14.7584
Alberto Mateus Contreiras Gonçalves,Rayo Vallecano,Center Forward,1032.0,0.6357,0.4537,review,0.436,2.1802,0.4057,17.1802,0.6977,13.7791
John Guidetti,Celta Vigo,Center Forward,1330.0,0.6286,0.436,review,0.406,2.2331,0.3644,19.3534,1.0827,17.797
