player,team,primary_position,total_minutes,probability,decision,npga_p90,shots_p90,npxg_p90,touches_in_box_p90,key_passes_p90,pressures_p90
Sergio Leonel Agüero del Castillo,Manchester City,Center Forward,2412,0.9693,recommend,0.8209,4.403,0.5133,26.903,0.8955,10.3731
Alexis Alejandro Sánchez Sánchez,Arsenal,Left Wing,2510,0.9502,recommend,0.6096,3.9801,0.4039,20.1155,1.9004,14.3426
Christian Benteke Liolo,Liverpool,Center Forward,1634,0.9254,recommend,0.6059,3.5251,0.5629,25.9425,1.2668,8.9229
Philippe Coutinho Correia,Liverpool,Left Wing,2097,0.8895,recommend,0.5579,4.7639,0.3059,10.6867,1.8455,16.4378
Dimitri Payet,West Ham United,Left Wing,2677,0.8698,recommend,0.706,2.3198,0.1704,6.0516,3.362,10.1868
Wilfried Guemiand Bony,Manchester City,Center Forward,1291,0.8624,recommend,0.488,4.2525,0.4529,19.0318,0.5577,6.8319
Romelu Lukaku Menama,Everton,Center Forward,3290,0.7827,recommend,0.6292,3.1733,0.4538,22.4863,1.1763,8.3435
Harry Kane,Tottenham Hotspur,Center Forward,3473,0.7683,recommend,0.5442,4.0944,0.4591,18.5546,1.0107,12.7239
Olivier Giroud,Arsenal,Center Forward,2541,0.7302,recommend,0.7438,3.6482,0.4333,26.0331,0.9209,15.0885
Kelechi Promise Iheanacho,Manchester City,Right Center Forward,842,0.7015,recommend,0.962,3.0998,0.54,18.0641,1.2827,17.3159
Odion Jude Ighalo,Watford,Left Center Forward,3271,0.6588,recommend,0.4677,3.0541,0.4655,21.8465,0.853,13.7022
Daniel Andre Sturridge,Liverpool,Center Forward,1020,0.6342,recommend,0.7941,4.2353,0.4522,19.8529,0.4412,8.7353
Jamie Vardy,Leicester City,Left Center Forward,3293,0.6043,recommend,0.6559,3.225,0.481,18.6395,0.9839,13.474
Graziano Pellè,Southampton,Center Forward,2286,0.5944,review,0.6693,3.2283,0.3039,23.1102,1.0236,10.1969
Dušan Tadić,Southampton,Left Wing,2339,0.5556,review,0.6541,2.1548,0.2308,12.1975,2.5395,14.7755
Daniel Nii Tackie Mensah Welbeck,Arsenal,Center Forward,594,0.5384,review,0.9091,3.0303,0.4581,25.303,0.7576,16.8182
Christian Dannemann Eriksen,Tottenham Hotspur,Left Wing,3032,0.4716,review,0.5343,2.9387,0.1517,6.9756,2.8199,16.7414
Diego da Silva Costa,Chelsea,Center Forward,2468,0.4633,review,0.6199,2.5527,0.4306,25.5632,0.7293,12.1799
Theo Walcott,Arsenal,Left Wing,1430,0.4305,review,0.4406,2.8951,0.4217,16.7413,0.8182,9.5664
Andy Carroll,West Ham United,Center Forward,1531,0.4253,review,0.5291,3.2332,0.3234,20.4572,0.823,9.6408
Mauro Matías Zárate,West Ham United,Right Wing,817,0.4244,review,0.4406,3.3048,0.2132,7.0502,1.8727,15.4223
José Leonardo Ulloa,Leicester City,Right Center Forward,1078,0.42,review,0.5009,2.7551,0.4709,20.1206,0.7514,21.2059
Aleksandar Mitrović,Newcastle United,Center Forward,2323,0.4125,review,0.4262,3.0994,0.3988,19.2165,0.8523,15.1485
Raheem Sterling,Manchester City,Left Wing,1981,0.3932,review,0.3635,2.317,0.2913,18.6724,1.4992,14.1292
Shane Long,Southampton,Center Forward,2210,0.3835,review,0.5701,2.5656,0.3252,18.0,1.2217,14.6199
Bafétimbi Gomis,Swansea City,Center Forward,1806,0.3761,review,0.2492,2.9402,0.3411,18.6379,0.6977,10.3156
Dieumerci Mbokani Bezua,Norwich City,Center Forward,1697,0.3731,review,0.4243,1.9623,0.3195,18.4561,1.1137,8.3795
Eden Hazard,Chelsea,Left Wing,2302,0.3724,review,0.2737,1.4075,0.0936,12.1199,2.424,9.0313
Erik Lamela,Tottenham Hotspur,Right Wing,2430,0.3477,review,0.4815,2.1852,0.2175,11.5185,2.3704,23.963
Pedro Eliezer Rodríguez Ledesma,Chelsea,Left Wing,2105,0.3435,review,0.3848,2.5226,0.2556,13.8527,1.6675,16.3325
Emmanuel Emenike,West Ham United,Center Forward,554,0.3421,review,0.0,1.9495,0.294,19.4946,1.4621,13.4838
Diafra Sakho,West Ham United,Center Forward,1567,0.329,review,0.3446,2.642,0.4223,19.4703,0.6892,14.6458
Divock Okoth Origi,Liverpool,Center Forward,715,0.3075,review,0.7552,3.021,0.2904,20.8951,1.1329,18.0
Jermain Defoe,Sunderland,Center Forward,2667,0.3072,review,0.5062,2.9696,0.4193,15.658,0.6074,11.7435
Wayne Mark Rooney,Manchester United,Center Forward,2496,0.2965,review,0.4327,2.5601,0.2204,14.5673,1.262,10.3486
Rudy Gestede,Aston Villa,Center Forward,1799,0.2828,review,0.3002,3.1518,0.2621,19.3107,0.5503,9.5053
Nacer Chadli,Tottenham Hotspur,Left Wing,1035,0.2805,review,0.4348,2.2609,0.226,14.0,1.6522,14.9565
Kevin Mirallas,Everton,Left Wing,1147,0.2725,review,0.4708,3.2171,0.2523,10.9067,1.0985,11.8483
Heung-Min Son,Tottenham Hotspur,Right Wing,1166,0.2636,review,0.3859,2.9331,0.2973,14.2024,1.3122,23.0017
Alberto Paloschi,Swansea City,Center Forward,682,0.2479,not recommended,0.2639,1.9795,0.3752,19.1349,0.6598,16.3636
Willian Borges da Silva,Chelsea,Right Wing,2840,0.2197,not recommended,0.3803,1.8697,0.1181,8.3345,2.4085,15.338
Glenn Murray,AFC Bournemouth,Center Forward,862,0.2043,not recommended,0.3132,2.819,0.402,16.8097,0.6265,18.8979
